id,produit,categorie,description,note_sur_5
1,Razer BlackShark V2,Casque,Casque gaming esport avec isolation acoustique et son surround immersif THX.,4.8
2,T-WOLF T17,Clavier,Clavier gamer avec touches silencieuses et rétroéclairage pour jeu rapide.,3.5
3,Logitech G502 Hero,Souris,Souris gaming filaire avec capteur optique haute précision 25K et poids ajustables.,4.9
4,Corsair K95 RGB Platinum,Clavier,Clavier mécanique premium avec switchs rapides Cherry MX macros et rgb.,4.7
5,HyperX Cloud II,Casque,Casque filaire très confortable avec mousse à mémoire de forme son 7.1 virtuel et micro détachable.,4.6
6,SteelSeries Arctis Pro,Casque,Casque sans fil haute fidélité pour audiophiles et gamers professionnels avec double batterie.,4.3
7,Razer DeathAdder V2,Souris,Souris ergonomique avec switchs optiques ultra rapides parfaite pour les FPS.,4.5
8,Razer Huntsman Mini,Clavier,Clavier mécanique compact 60% avec switchs optiques linéaires idéal pour l esport.,4.8
9,Logitech G Pro X Superlight,Souris,Souris sans fil ultra légère conçue spécifiquement pour les pros de l esport et la compétition.,4.9
10,Asus ROG Delta S,Casque,Casque gaming avec quad-DAC ESS haute résolution éclairage RGB et micro IA antibruit.,4.0
